us_state,search_term,position_location,num_of_jobs,search_string,job_count
Alabama,title:(data engineer),data engineer jobs in Alabama,Page 1 of 81 jobs,Data Engineer,81
Alabama,title:(data scientist),data scientist jobs in Alabama,Page 1 of 31 jobs,Data Scientist,31
Alabama,title:(data analyst),data analyst jobs in Alabama,Page 1 of 87 jobs,Data Analyst,87
Alaska,title:(data engineer),data engineer jobs in Alaska,Page 1 of 17 jobs,Data Engineer,17
Alaska,title:(data scientist),data scientist jobs in Alaska,Page 1 of 1 jobs,Data Scientist,1
Alaska,title:(data analyst),data analyst jobs in Alaska,Page 1 of 14 jobs,Data Analyst,14
Arizona,title:(data engineer),data engineer jobs in Arizona,Page 1 of 334 jobs,Data Engineer,334
Arizona,title:(data scientist),data scientist jobs in Arizona,Page 1 of 94 jobs,Data Scientist,94
Arizona,title:(data analyst),data analyst jobs in Arizona,Page 1 of 238 jobs,Data Analyst,238
Arkansas,title:(data engineer),data engineer jobs in Arkansas,Page 1 of 61 jobs,Data Engineer,61
Arkansas,title:(data scientist),data scientist jobs in Arkansas,Page 1 of 51 jobs,Data Scientist,51
Arkansas,title:(data analyst),data analyst jobs in Arkansas,Page 1 of 96 jobs,Data Analyst,96
California,title:(data engineer),data engineer jobs in California,"Page 1 of 3,342 jobs",Data Engineer,3342
California,title:(data scientist),data scientist jobs in California,"Page 1 of 1,620 jobs",Data Scientist,1620
California,title:(data analyst),data analyst jobs in California,"Page 1 of 1,577 jobs",Data Analyst,1577
Colorado,title:(data engineer),data engineer jobs in Colorado,Page 1 of 252 jobs,Data Engineer,252
Colorado,title:(data scientist),data scientist jobs in Colorado,Page 1 of 120 jobs,Data Scientist,120
Colorado,title:(data analyst),data analyst jobs in Colorado,Page 1 of 215 jobs,Data Analyst,215
Connecticut,title:(data engineer),data engineer jobs in Connecticut,Page 1 of 242 jobs,Data Engineer,242
Connecticut,title:(data scientist),data scientist jobs in Connecticut,Page 1 of 102 jobs,Data Scientist,102
Connecticut,title:(data analyst),data analyst jobs in Connecticut,Page 1 of 182 jobs,Data Analyst,182
Delaware,title:(data engineer),data engineer jobs in Delaware,Page 1 of 72 jobs,Data Engineer,72
Delaware,title:(data scientist),data scientist jobs in Delaware,Page 1 of 26 jobs,Data Scientist,26
Delaware,title:(data analyst),data analyst jobs in Delaware,Page 1 of 73 jobs,Data Analyst,73
Florida,title:(data engineer),data engineer jobs in Florida,Page 1 of 606 jobs,Data Engineer,606
Florida,title:(data scientist),data scientist jobs in Florida,Page 1 of 269 jobs,Data Scientist,269
