us_state,search_term,position_location,num_of_jobs
Alabama,title:(data engineer),data engineer jobs in Alabama,Page 1 of 81 jobs
Alabama,title:(data scientist),data scientist jobs in Alabama,Page 1 of 31 jobs
Alabama,title:(data analyst),data analyst jobs in Alabama,Page 1 of 87 jobs
Alabama,title:(data engineer),data engineer jobs in Alabama,Page 1 of 81 jobs
Alabama,title:(data scientist),data scientist jobs in Alabama,Page 1 of 31 jobs
Alabama,title:(data analyst),data analyst jobs in Alabama,Page 1 of 87 jobs
Alaska,title:(data engineer),data engineer jobs in Alaska,Page 1 of 17 jobs
Alaska,title:(data scientist),data scientist jobs in Alaska,Page 1 of 1 jobs
Alaska,title:(data analyst),data analyst jobs in Alaska,Page 1 of 14 jobs
Arizona,title:(data engineer),data engineer jobs in Arizona,Page 1 of 334 jobs
Arizona,title:(data scientist),data scientist jobs in Arizona,Page 1 of 94 jobs
Arizona,title:(data analyst),data analyst jobs in Arizona,Page 1 of 238 jobs
Arkansas,title:(data engineer),data engineer jobs in Arkansas,Page 1 of 61 jobs
Arkansas,title:(data scientist),data scientist jobs in Arkansas,Page 1 of 51 jobs
Arkansas,title:(data analyst),data analyst jobs in Arkansas,Page 1 of 96 jobs
California,title:(data engineer),data engineer jobs in California,"Page 1 of 3,342 jobs"
California,title:(data scientist),data scientist jobs in California,"Page 1 of 1,620 jobs"
California,title:(data analyst),data analyst jobs in California,"Page 1 of 1,577 jobs"
Colorado,title:(data engineer),data engineer jobs in Colorado,Page 1 of 252 jobs
Colorado,title:(data scientist),data scientist jobs in Colorado,Page 1 of 120 jobs
Colorado,title:(data analyst),data analyst jobs in Colorado,Page 1 of 215 jobs
Connecticut,title:(data engineer),data engineer jobs in Connecticut,Page 1 of 242 jobs
Connecticut,title:(data scientist),data scientist jobs in Connecticut,Page 1 of 102 jobs
Connecticut,title:(data analyst),data analyst jobs in Connecticut,Page 1 of 182 jobs
Delaware,title:(data engineer),data engineer jobs in Delaware,Page 1 of 72 jobs
Delaware,title:(data scientist),data scientist jobs in Delaware,Page 1 of 26 jobs
Delaware,title:(data analyst),data analyst jobs in Delaware,Page 1 of 73 jobs
Florida,title:(data engineer),data engineer jobs in Florida,Page 1 of 606 jobs
Florida,title:(data scientist),data scientist jobs in Florida,Page 1 of 269 jobs
Florida,title:(data analyst),data analyst jobs in Florida,Page 1 of 629 jobs
Georgia,title:(data engineer),data engineer jobs in Georgia,Page 1 of 535 jobs
Georgia,title:(data scientist),data scientist jobs in Georgia,Page 1 of 295 jobs
Georgia,title:(data analyst),data analyst jobs in Georgia,Page 1 of 543 jobs
Hawaii,title:(data engineer),data engineer jobs in Hawaii,Page 1 of 54 jobs
Hawaii,title:(data scientist),data scientist jobs in Hawaii,Page 1 of 22 jobs
Hawaii,title:(data analyst),data analyst jobs in Hawaii,Page 1 of 36 jobs
Idaho,title:(data engineer),data engineer jobs in Idaho,Page 1 of 57 jobs
Idaho,title:(data scientist),data scientist jobs in Idaho,Page 1 of 11 jobs
Idaho,title:(data analyst),data analyst jobs in Idaho,Page 1 of 37 jobs
Illinois,title:(data engineer),data engineer jobs in Illinois,Page 1 of 967 jobs
Illinois,title:(data scientist),data scientist jobs in Illinois,Page 1 of 374 jobs
Illinois,title:(data analyst),data analyst jobs in Illinois,Page 1 of 685 jobs
Indiana,title:(data engineer),data engineer jobs in Indiana,Page 1 of 187 jobs
Indiana,title:(data scientist),data scientist jobs in Indiana,Page 1 of 45 jobs
Indiana,title:(data analyst),data analyst jobs in Indiana,Page 1 of 171 jobs
Iowa,title:(data engineer),data engineer jobs in Iowa,Page 1 of 85 jobs
Iowa,title:(data scientist),data scientist jobs in Iowa,Page 1 of 24 jobs
Iowa,title:(data analyst),data analyst jobs in Iowa,Page 1 of 79 jobs
Kansas,title:(data engineer),data engineer jobs in Kansas,Page 1 of 89 jobs
Kansas,title:(data scientist),data scientist jobs in Kansas,Page 1 of 28 jobs
Kansas,title:(data analyst),data analyst jobs in Kansas,Page 1 of 57 jobs
Kentucky,title:(data engineer),data engineer jobs in Kentucky,Page 1 of 45 jobs
Kentucky,title:(data scientist),data scientist jobs in Kentucky,Page 1 of 18 jobs
Kentucky,title:(data analyst),data analyst jobs in Kentucky,Page 1 of 75 jobs
Louisiana,title:(data engineer),data engineer jobs in Louisiana,Page 1 of 47 jobs
Louisiana,title:(data scientist),data scientist jobs in Louisiana,Page 1 of 19 jobs
Louisiana,title:(data analyst),data analyst jobs in Louisiana,Page 1 of 68 jobs
Maine,title:(data engineer),data engineer jobs in Maine,Page 1 of 37 jobs
Maine,title:(data scientist),data scientist jobs in Maine,Page 1 of 24 jobs
Maine,title:(data analyst),data analyst jobs in Maine,Page 1 of 45 jobs
Maryland,title:(data engineer),data engineer jobs in Maryland,Page 1 of 509 jobs
Maryland,title:(data scientist),data scientist jobs in Maryland,Page 1 of 332 jobs
Maryland,title:(data analyst),data analyst jobs in Maryland,Page 1 of 379 jobs
Massachusetts,title:(data engineer),data engineer jobs in Massachusetts,"Page 1 of 1,034 jobs"
Massachusetts,title:(data scientist),data scientist jobs in Massachusetts,Page 1 of 514 jobs
Massachusetts,title:(data analyst),data analyst jobs in Massachusetts,Page 1 of 534 jobs
Michigan,title:(data engineer),data engineer jobs in Michigan,Page 1 of 342 jobs
Michigan,title:(data scientist),data scientist jobs in Michigan,Page 1 of 115 jobs
Michigan,title:(data analyst),data analyst jobs in Michigan,Page 1 of 255 jobs
Minnesota,title:(data engineer),data engineer jobs in Minnesota,Page 1 of 272 jobs
Minnesota,title:(data scientist),data scientist jobs in Minnesota,Page 1 of 120 jobs
Minnesota,title:(data analyst),data analyst jobs in Minnesota,Page 1 of 279 jobs
Mississippi,title:(data engineer),data engineer jobs in Mississippi,Page 1 of 23 jobs
